movie_id,title,genres,overview,imdb_rating
1,The Shawshank Redemption,Drama,Two imprisoned men bond over years while finding hope and redemption,9.3
2,The Godfather,Crime|Drama,A mafia family struggles with loyalty legacy and power,9.2
3,The Dark Knight,Action|Crime|Drama,Batman faces the Joker in a battle for Gotham's soul,9.0
4,Inception,Action|Sci-Fi|Thriller,A thief enters dreams to steal and plant ideas,8.8
5,Forrest Gump,Comedy|Drama|Romance,A kind man witnesses and influences major moments in history,8.8
6,The Matrix,Action|Sci-Fi,A hacker discovers reality is a simulation and fights back,8.7
7,Interstellar,Adventure|Drama|Sci-Fi,Explorers travel through a wormhole to save humanity,8.6
8,The Lord of the Rings The Return of the King,Action|Adventure|Drama,Allies march to distract evil while two hobbits approach Mount Doom,8.9
9,Pulp Fiction,Crime|Drama,Interconnected stories of crime and consequence unfold in Los Angeles,8.9
10,Fight Club,Drama,An office worker forms an underground fight club with a rebel,8.8
11,Goodfellas,Biography|Crime|Drama,The rise and fall of a mob associate across decades,8.7
12,The Social Network,Biography|Drama,A student builds a social media giant and faces legal battles,7.8
13,Gladiator,Action|Adventure|Drama,A betrayed Roman general seeks justice in the arena,8.5
14,Whiplash,Drama|Music,A young drummer faces an intense and demanding instructor,8.5
15,The Grand Budapest Hotel,Adventure|Comedy|Drama,A hotel concierge and lobby boy become part of a grand adventure,8.1
16,Parasite,Comedy|Drama|Thriller,Two families from different classes become dangerously entangled,8.6
17,Joker,Crime|Drama|Thriller,A struggling comedian descends into chaos in Gotham,8.4
18,Avengers Endgame,Action|Adventure|Sci-Fi,Heroes unite for one final mission to reverse catastrophe,8.4
19,Spider-Man Into the Spider-Verse,Action|Animation|Comedy,A teen hero teams up with Spider-people from other worlds,8.4
20,The Wolf of Wall Street,Biography|Comedy|Crime,A stockbroker climbs fast and falls hard amid fraud and excess,8.2
21,The Silence of the Lambs,Crime|Drama|Thriller,An FBI trainee seeks help from a brilliant imprisoned killer,8.6
22,Back to the Future,Adventure|Comedy|Sci-Fi,A teenager travels to the past and risks his own future,8.5
23,The Lion King,Animation|Adventure|Drama,A young lion prince must reclaim his kingdom,8.5
24,The Departed,Crime|Drama|Thriller,An undercover cop and a mole race to expose each other,8.5
25,La La Land,Comedy|Drama|Music,Two artists fall in love while chasing ambitious careers,8.0
26,The Prestige,Drama|Mystery|Sci-Fi,Two rival magicians obsess over the ultimate illusion,8.5
27,The Intouchables,Biography|Comedy|Drama,An unlikely friendship changes two very different lives,8.5
28,The Green Mile,Fantasy|Drama,Guards on death row encounter a prisoner with a mysterious gift,8.6
29,Life Is Beautiful,Comedy|Drama|Romance,A father uses humor to protect his son during wartime horror,8.6
30,The Usual Suspects,Crime|Mystery|Thriller,A survivor recounts a complicated and deceptive crime story,8.5
31,Se7en,Crime|Drama|Mystery,Detectives hunt a killer inspired by the seven deadly sins,8.6
32,A Quiet Place,Horror|Mystery|Thriller,A family must remain silent to survive deadly creatures,7.5
33,John Wick,Action|Crime|Thriller,A retired hitman returns after a brutal personal loss,7.4
34,Coco,Animation|Adventure|Family,A boy enters the land of the dead to uncover family truths,8.4
35,Your Name,Animation|Drama|Fantasy,Two teenagers mysteriously swap bodies across distance and time,8.4
36,The Truman Show,Comedy|Drama,A man discovers his whole life is a television show,8.1
37,The Pianist,Biography|Drama|Music,A musician fights to survive in war-torn Europe,8.5
38,The Shining,Horror|Drama,Isolation and fear slowly consume a family in a remote hotel,8.4
39,The Dark Knight Rises,Action|Drama,Bruce Wayne returns to face a ruthless new enemy,8.4
40,The Lego Movie,Animation|Adventure|Comedy,An ordinary builder is mistaken for a special hero,7.7
41,Mad Max Fury Road,Action|Adventure|Sci-Fi,Rebels flee a tyrant across a brutal desert wasteland,8.1
42,The Sixth Sense,Horror|Mystery|Thriller,A boy who sees spirits seeks help from a troubled doctor,8.1
43,The Incredibles,Action|Animation|Family,A superhero family comes out of retirement to save the world,8.0
44,Good Will Hunting,Drama|Romance,A gifted janitor learns to confront his past and potential,8.3
45,The Breakfast Club,Comedy|Drama,Five students discover unexpected common ground in detention,7.8
46,Die Hard,Action|Thriller,A cop battles terrorists inside a skyscraper,8.2
47,The Big Lebowski,Comedy|Crime,A laid-back bowler is dragged into a bizarre crime plot,8.1
48,The Notebook,Romance|Drama,A couple's love story survives class conflict and time,7.8
49,Shutter Island,Mystery|Thriller,A marshal investigates a disappearance at an isolated asylum,8.2
50,The Help,Drama,A writer exposes injustice faced by maids in the deep south,8.1
